PreGapLength,20,音轨前间隙长度无法确认或未确认(Pre-gap length)，第{0}音轨(-{1}分)
SuspiciousPosition,20,音轨存在可疑区间(Suspicious Position)，EAC反复读取失败，第{0}音轨(-{1}分)
MissingSample,20,音轨存在取样缺失(Missing Sample)，第{0}音轨(-{1}分)
TimingProblem,20,光盘或光驱存在时序问题请查证(Timing Problem)，第{0}音轨(-{1}分)
CopyStatus,5,拷贝并非正确(Copy Status is not OK)，第{0}音轨(-{1}分)
CRCUncertain,30,CRC校验不正确，第{0}音轨(-{1}分)
CRCUncertainAndNotSecure,50,未在安全模式并且CRC校验不正确，第{0}音轨(-{1}分)
NotAccuratelyRipped,0,无法确认第{0}音轨在AR数据库中，可能是新CD或未知CD(警告！)
Fake,100,可能为假的抓轨记录(错误！)
IsRange,100,范围抓轨记录无法校验(错误！)
IsNotAllAccuratelyRipped,0,并非所有音轨都在AR数据库中，可能是新CD或未知CD(警告！)
NormalizeToOn,100,抓取时使用标准化(Normalization)(错误！)
UseCompressionOffset,100,抓取时使用压缩偏移值(Compression Offset)(错误！)
InSecure,5,非安全模式抓取(-5分)
UsedC2,10,使用C2点(-10分)
NoDefeatAudioCache,5,必须开启默认音频缓存(Defeat Audio Cache)(-5分)
NotFillUpMissingOffsetSamplesWithSilence,5,未将读取失败的取样使用空白取样填充(-5分)
NotNullSamplesUsedinCRCCalculations,5,空白间隙未计入CRC(-5分)
DeleteLeadingTrailingSilentBlocks,5,删除前导和尾随的静音取样(-5分)
AddID3Tag,5,添加ID3标签会在Unix类系统引起文件读取失败问题(-5分)
NotGapHandle,5,EAC V0.95以上未开启间隙检测(Gap Handling)(-5分)
ReadOffset,5,CD驱动器读取偏移值无法验证(-5分)
VirtualDriveUsed,20,不能使用虚拟光驱抓取(-20分)
OffsetNotRight,5,CD驱动器偏移值不正确(-5分)
OffsetNotFound,5,CD驱动器偏移值不可能为0(-5分)
OffsetNotInDB,0,CD驱动器数据库中不存在该驱动器(警告！)
